OFFER,RETAILER_mapped,BRAND,PRODUCT_CATEGORY
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Makeup,
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Hair Removal,
"Arber, at Walmart",WALMART,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",,Malt Beverages,
Any Pavilions receipt,PAVILIONS,Cooking & Baking,
Back to the Roots Grow Kits at Walmart or The Home Depot,WALMART,Packaged Meals & Sides,
Any Safeway receipt,SAFEWAY,Candy,Gum
"Welch's® Fruit Snacks, select varieties, 6 count+",,Fruit & Vegetable Snacks,
Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,WALMART,Packaged Meals & Sides,
"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",,Frozen Desserts,
"ORBIT®, select varieties",,Gum,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Sports Drinks,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Sports Drinks,
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,Frozen Turkey,
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,Nut Butters & Jam,
Hellmann's | Best Foods Vegan Dressing or Spread,,Sauces & Marinades,
Hellmann's | Best Foods Vegan Dressing or Spread,,Dressings,
Hellmann's | Best Foods Vegan Dressing or Spread,,Condiments,
"Rao's®, Pasta OR Sauce, spend $10",,Frozen Meals,
"Rao's®, Pasta OR Sauce, spend $10",,Pasta & Noodles,Dry Pasta
"Rao's®, Pasta OR Sauce, spend $10",,Pasta & Noodles,Fresh Pasta
"Rao's®, Pasta OR Sauce, spend $10",,Dry Pasta,
"Rao's®, Pasta OR Sauce, spend $10",,Red Pasta Sauce,
"Rao's®, Pasta OR Sauce, spend $10",,Sauces & Marinades,
"Rao's®, Pasta OR Sauce, spend $10",,Alfredo & White Pasta Sauce,
"Rao's®, Pasta OR Sauce, spend $10",,Frozen Pizza & Pizza Snacks,
L'Oreal Paris True Match Foundation at Target,TARGET,Makeup,
"Sara Lee® or Alfaros® Artesano bread, spend $20",,Bakery,
"Sara Lee® or Alfaros® Artesano bread, spend $20",,Bread,
Spend $220 at Albertsons,ALBERTSONS,Candy,Gum
"Perfect Keto Super Reds, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Super Reds, online at Amazon",AMAZON,Medicines & Treatments,
The Rustik Oven® bread,,Bread,
Gorton's at select retailers,STOP & SHOP,Jerky & Dried Meat,
Gorton's at select retailers,WALMART,Jerky & Dried Meat,
Gorton's at select retailers,STOP & SHOP,Frozen Seafood,
Gorton's at select retailers,WALMART,Frozen Seafood,
Gorton's at select retailers,STOP & SHOP,Frozen Meals,
Gorton's at select retailers,WALMART,Frozen Meals,
"Back to the Roots Seeds, at Walmart",WALMART,Packaged Meals & Sides,
Nature Valley™ Protein Granola,,Nuts & Seeds,
Nature Valley™ Protein Granola,,Cookies,
Nature Valley™ Protein Granola,,Dips & Salsa,
Nature Valley™ Protein Granola,,"Cereal, Granola, & Toaster Pastries",
Nature Valley™ Protein Granola,,Nut Butters & Jam,
Nature Valley™ Protein Granola,,Candy,Gum
Nature Valley™ Protein Granola,,Chips,
Nature Valley™ Protein Granola,,Trail Mix,
Nature Valley™ Protein Granola,,Crackers,
Nature Valley™ Protein Granola,,Fruit & Vegetable Snacks,
Brita® Pitcher OR Dispenser,,Water,
Brita® Pitcher OR Dispenser,,Household Supplies,Laundry Supplies
Brita® Pitcher OR Dispenser,,Household Supplies,Household Cleaning Supplies
Brita® Pitcher OR Dispenser,,Household Supplies,Food Storage
Brita® Pitcher OR Dispenser,,Household Supplies,Household Supplies
Brita® Pitcher OR Dispenser,,Household Supplies,Pest Control
Spend $30 at CVS,CVS,Cooking & Baking,
Spend $30 at CVS,CVS,Medicines & Treatments,
Spend $30 at CVS,CVS,Skin Care,
Spend $30 at CVS,CVS,Fruit Juices,
"Back to the Roots Organic Kits and Planters, at Target",TARGET,Packaged Meals & Sides,
"Sir Kensington's® Condiments, buy 2",,Condiments,
"Sir Kensington's® Condiments, buy 2",,Dressings,
"Sir Kensington's® Condiments, buy 2",,Sauces & Marinades,
"Perfect Keto Exogenous Ketones Powder, online at Amazon",AMAZON,Nuts & Seeds,
"Perfect Keto Exogenous Ketones Powder, online at Amazon",AMAZON,Medicines & Treatments,
Select Beverages AND Prepared Food Item at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Select Beverages AND Prepared Food Item at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,Packaged Meals & Sides,
"Barilla® pasta, select varieties, buy 2",,Pesto Sauce,
"Barilla® pasta, select varieties, buy 2",,Chips,
"Barilla® pasta, select varieties, buy 2",,Red Pasta Sauce,
"Barilla® pasta, select varieties, buy 2",,Dry Pasta,
Any Star Market receipt,STAR MARKET,Cooking & Baking,
"Squirrel, The Bedside Perch, online at Amazon",AMAZON,,
"Fresh Bakery items, select varieties, at Casey's",CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
"Fresh Bakery items, select varieties, at Casey's",CASEYS GENERAL STORE,Cooking & Baking,
Ben & Jerry's® Churray For Churros™ Ice Cream,,Frozen Desserts,
Sir Kensington's® Condiments,,Condiments,
Sir Kensington's® Condiments,,Dressings,
Sir Kensington's® Condiments,,Sauces & Marinades,
"Dove Hand Wash, select varieties at Target",TARGET,Bath & Body,
"Dove Hand Wash, select varieties at Target",TARGET,Hair Care,
"Dove Hand Wash, select varieties at Target",TARGET,Makeup,
"Dove Hand Wash, select varieties at Target",TARGET,Deodorant & Antiperspirant,
Spend $15 at Burger King,BURGER KING,Cooking & Baking,
Cameron’s Coffee EcoPods,,Coffee,
L'Oréal Paris True Match Foundation at Target,TARGET,Makeup,
"Sara Lee® Delightful bread, buy 2",,Frozen Desserts,
"Sara Lee® Delightful bread, buy 2",,"Cereal, Granola, & Toaster Pastries",
"Sara Lee® Delightful bread, buy 2",,Cheese,
"Sara Lee® Delightful bread, buy 2",,Bread,
"Sara Lee® Delightful bread, buy 2",,Bakery,
"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",,Fruit & Vegetable Snacks,
Spend $35 at Subway,SUBWAY,Cooking & Baking,
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,Cooking & Baking,
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,Makeup,
Spend $115 at Safeway,SAFEWAY,Candy,Gum
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Breads & Doughs,
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Desserts,
Shop 2 times at Randalls,RANDALLS FOOD MARKETS,,
Shop 2 times at Randalls,RANDALLS,,
"Jack Link's®, select varieties",,Jerky & Dried Meat,
"Persil® ProClean®, select varieties, at Walmart",WALMART,,
"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",TARGET,Packaged Meals & Sides,
"STARBURST®, select varieties",,Fruit & Vegetable Snacks,
"STARBURST®, select varieties",,Gum,
"STARBURST®, select varieties",,Candy,Gum
"Super Coffee, 12 ounce single serve",,Coffee,
Spend $90 at Safeway,SAFEWAY,Candy,Gum
Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,CASEYS GENERAL STORE,Cooking & Baking,
Spend $50 at Chewy.com,CHEWY,,
Simply Organic Seasoning Mixes OR Spices,,Sauces & Marinades,
Simply Organic Seasoning Mixes OR Spices,,Cooking & Baking,
Spend $10 at KFC,KFC,,
Sargento Product,,Cheese,
Thomas'® Bagel Thins,,Bakery,
Thomas'® Bagel Thins,,Frozen Breakfast,
Thomas'® Bagel Thins,,Bread,
Spend $270 at Pavilions,PAVILIONS,Cooking & Baking,
"Back to the Roots Soils, select varieties, at Walmart",WALMART,Packaged Meals & Sides,
